datetime,soil_moisture(m^3/m^3),precipitation(mm),hour,day,month,year,quarter,target
2025-12-19 00:00:00,0.31774998,1.8,0,4,12,2025,4,[0.3185     0.315      0.31425    0.311      0.30825    0.30699998]
2025-12-19 01:00:00,0.3185,0.5,1,4,12,2025,4,[0.315      0.31425    0.311      0.30825    0.30699998 0.3055    ]
2025-12-19 02:00:00,0.315,0.4,2,4,12,2025,4,[0.31425    0.311      0.30825    0.30699998 0.3055     0.30475   ]
2025-12-19 03:00:00,0.31425,0.0,3,4,12,2025,4,[0.311      0.30825    0.30699998 0.3055     0.30475    0.304     ]
2025-12-19 04:00:00,0.311,0.0,4,4,12,2025,4,[0.30825    0.30699998 0.3055     0.30475    0.304      0.3035    ]
2025-12-19 05:00:00,0.30825,0.0,5,4,12,2025,4,[0.30699998 0.3055     0.30475    0.304      0.3035     0.30275   ]
2025-12-19 06:00:00,0.30699998,0.1,6,4,12,2025,4,[0.3055     0.30475    0.304      0.3035     0.30275    0.30200002]
2025-12-19 07:00:00,0.3055,0.1,7,4,12,2025,4,[0.30475    0.304      0.3035     0.30275    0.30200002 0.30200002]
2025-12-19 08:00:00,0.30475,0.1,8,4,12,2025,4,[0.304      0.3035     0.30275    0.30200002 0.30200002 0.30125   ]
2025-12-19 09:00:00,0.304,0.0,9,4,12,2025,4,[0.3035     0.30275    0.30200002 0.30200002 0.30125    0.3005    ]
2025-12-19 10:00:00,0.3035,0.0,10,4,12,2025,4,[0.30275    0.30200002 0.30200002 0.30125    0.3005     0.29975   ]
2025-12-19 11:00:00,0.30275,0.0,11,4,12,2025,4,[0.30200002 0.30200002 0.30125    0.3005     0.29975    0.2995    ]
2025-12-19 12:00:00,0.30200002,0.0,12,4,12,2025,4,[0.30200002 0.30125    0.3005     0.29975    0.2995     0.29925   ]
2025-12-19 13:00:00,0.30200002,0.1,13,4,12,2025,4,[0.30125 0.3005  0.29975 0.2995  0.29925 0.30375]
2025-12-19 14:00:00,0.30125,0.0,14,4,12,2025,4,[0.3005  0.29975 0.2995  0.29925 0.30375 0.3035 ]
2025-12-19 15:00:00,0.3005,0.0,15,4,12,2025,4,[0.29975    0.2995     0.29925    0.30375    0.3035     0.30324998]
2025-12-19 16:00:00,0.29975,0.0,16,4,12,2025,4,[0.2995     0.29925    0.30375    0.3035     0.30324998 0.30324998]
2025-12-19 17:00:00,0.2995,0.0,17,4,12,2025,4,[0.29925    0.30375    0.3035     0.30324998 0.30324998 0.30324998]
2025-12-19 18:00:00,0.29925,0.0,18,4,12,2025,4,[0.30375    0.3035     0.30324998 0.30324998 0.30324998 0.303     ]
2025-12-19 19:00:00,0.30375,0.0,19,4,12,2025,4,[0.3035     0.30324998 0.30324998 0.30324998 0.303      0.303     ]
2025-12-19 20:00:00,0.3035,0.0,20,4,12,2025,4,[0.30324998 0.30324998 0.30324998 0.303      0.303      0.30275   ]
2025-12-19 21:00:00,0.30324998,0.0,21,4,12,2025,4,[0.30324998 0.30324998 0.303      0.303      0.30275    0.30275   ]
2025-12-19 22:00:00,0.30324998,0.0,22,4,12,2025,4,[0.30324998 0.303      0.303      0.30275    0.30275    0.30225   ]
2025-12-19 23:00:00,0.30324998,0.0,23,4,12,2025,4,[0.303      0.303      0.30275    0.30275    0.30225    0.30200002]
2025-12-20 00:00:00,0.303,0.0,0,5,12,2025,4,[0.303      0.30275    0.30275    0.30225    0.30200002 0.30200002]
2025-12-20 01:00:00,0.303,0.0,1,5,12,2025,4,[0.30275    0.30275    0.30225    0.30200002 0.30200002 0.30200002]
2025-12-20 02:00:00,0.30275,0.0,2,5,12,2025,4,[0.30275    0.30225    0.30200002 0.30200002 0.30200002 0.30200002]
2025-12-20 03:00:00,0.30275,0.0,3,5,12,2025,4,[0.30225    0.30200002 0.30200002 0.30200002 0.30200002 0.30175   ]
2025-12-20 04:00:00,0.30225,0.0,4,5,12,2025,4,[0.30200002 0.30200002 0.30200002 0.30200002 0.30175    0.30175   ]
2025-12-20 05:00:00,0.30200002,0.0,5,5,12,2025,4,[0.30200002 0.30200002 0.30200002 0.30175    0.30175    0.30175   ]
2025-12-20 06:00:00,0.30200002,0.0,6,5,12,2025,4,[0.30200002 0.30200002 0.30175    0.30175    0.30175    0.30125   ]
2025-12-20 07:00:00,0.30200002,0.0,7,5,12,2025,4,[0.30200002 0.30175    0.30175    0.30175    0.30125    0.30125   ]
2025-12-20 08:00:00,0.30200002,0.0,8,5,12,2025,4,[0.30175 0.30175 0.30175 0.30125 0.30125 0.301  ]
2025-12-20 09:00:00,0.30175,0.0,9,5,12,2025,4,[0.30175 0.30175 0.30125 0.30125 0.301   0.301  ]
2025-12-20 10:00:00,0.30175,0.0,10,5,12,2025,4,[0.30175 0.30125 0.30125 0.301   0.301   0.301  ]
2025-12-20 11:00:00,0.30175,0.0,11,5,12,2025,4,[0.30125 0.30125 0.301   0.301   0.301   0.301  ]
2025-12-20 12:00:00,0.30125,0.0,12,5,12,2025,4,[0.30125 0.301   0.301   0.301   0.301   0.301  ]
2025-12-20 13:00:00,0.30125,0.0,13,5,12,2025,4,[0.301  0.301  0.301  0.301  0.301  0.3015]
2025-12-20 14:00:00,0.301,0.0,14,5,12,2025,4,[0.301  0.301  0.301  0.301  0.3015 0.3015]
2025-12-20 15:00:00,0.301,0.0,15,5,12,2025,4,[0.301      0.301      0.301      0.3015     0.3015     0.30150002]
2025-12-20 16:00:00,0.301,0.0,16,5,12,2025,4,[0.301      0.301      0.3015     0.3015     0.30150002 0.301     ]
2025-12-20 17:00:00,0.301,0.0,17,5,12,2025,4,[0.301      0.3015     0.3015     0.30150002 0.301      0.30075002]
2025-12-20 18:00:00,0.301,0.0,18,5,12,2025,4,[0.3015     0.3015     0.30150002 0.301      0.30075002 0.30025   ]
2025-12-20 19:00:00,0.3015,0.0,19,5,12,2025,4,[0.3015     0.30150002 0.301      0.30075002 0.30025    0.29775   ]
2025-12-20 20:00:00,0.3015,0.0,20,5,12,2025,4,[0.30150002 0.301      0.30075002 0.30025    0.29775    0.2965    ]
2025-12-20 21:00:00,0.30150002,0.0,21,5,12,2025,4,[0.301      0.30075002 0.30025    0.29775    0.2965     0.296     ]
2025-12-20 22:00:00,0.301,0.0,22,5,12,2025,4,[0.30075002 0.30025    0.29775    0.2965     0.296      0.295     ]
2025-12-20 23:00:00,0.30075002,0.0,23,5,12,2025,4,[0.30025 0.29775 0.2965  0.296   0.295   0.29425]
2025-12-21 00:00:00,0.30025,0.0,0,6,12,2025,4,[0.29775 0.2965  0.296   0.295   0.29425 0.29375]
2025-12-21 01:00:00,0.29775,0.0,1,6,12,2025,4,[0.2965     0.296      0.295      0.29425    0.29375    0.29424998]
